nome,municipio,telefone,email
ABENER AUGUSTO PIRES PROF ESCOLA MUNICIPAL,PANORAMA,(018) 0000000-0000 / (018) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
ADELITA FIRPO EMEI,LUCELIA,(018) 0000000-0000 / (018) 0003551-1790,
ALICE BERNARDES SILVA PROFA EMEFI,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-3998,ESCOLAALICEBERNARDES@OSVALDOCRUZ.SP.GOV.BR
AMADOR FRANCO DA SILVEIRA EMEF,DRACENA,(018) 0000000-0000 / (018) 0003839-6128,AMADORFSILVEIRA1@OUTLOOK.COM
ANA THEREZA COPETTI FERREIRA PROFA EM,TUPI PAULISTA,(018) 0000000-0000 / (018) 0003851-2475,ESCOLA.AT@HOTMAIL.COM
ARCO IRIS CRECHE,DRACENA,(018) 0000000-0000 / (018) 0003839-6126,EMEI-ARCOIRIS@DRACENA.SP.GOV.BR
ARGEMIRO DE ALMEIDA GONZAGA EMEF,LUCELIA,(018) 0003551-0263 / (018) 0003551-1842,ESCOLAARGEMIROGONZAGA@GMAIL.COM
ARMANDO LOPES MORENO PROF EMEFEI,FLORA RICA,(018) 0000000-0000 / (018) 0003866-1138,EMEFEI.FLORARICA@HOTMAIL.COM
ARMANDO RIBEIRO BEL EM,PANORAMA,(000) 0000000-0000 / (000) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
ATILIO SANI PREFEITO EMEF,SAGRES,(018) 0000000-0000 / (018) 0003558-1212,EMEFPREFEITOATILIOSANI@BOL.COM.BR
AURORA DALVA ARANTES DE CARVALHO EMEI,OURO VERDE,(018) 0000000-0000 / (018) 0003872-1555,EMEI.AURORA@YAHOO.COM.BR
BALAO MAGICO CRECHE,DRACENA,(018) 0000000-0000 / (018) 0003821-1331,EQUIPEBALAOMAGICO@OUTLOOK.COM
BENEDICTO MOACYR LORDELLO FILHO EMEI,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-0212,
CAMILA NABAS BAPTISTA CENTRO EDUCACIONAL INFANTIL,OSVALDO CRUZ,(000) 0000000-0000 / (000) 0003529-2643,
CANTIGA DE NINAR EMEI,DRACENA,(018) 0000000-0000 / (018) 0003822-1647,EMEICANTIGADENINAR@HOTMAIL.COM
